job_id,job_title,job_url,scrape_date,company_name,location,posting_date
12208326,"Data Scientist (m/w/d) – Schwerpunkt Mathematik, Statistik & Naturwissenschaften",/stellenangebote--Data-Scientist-m-w-d-Schwerpunkt-Mathematik-Statistik-Naturwissenschaften-Hamburg-ISBA-Informatik-Service-GmbH--12208326-inline.html,2025-03-28T14:53:52.734901,ISBA Informatik Service-GmbH,Hamburg,vor 1 Tag
12151811,"Data Engineers, Analysts & Scientists (w|m|d)",/stellenangebote--Data-Engineers-Analysts-Scientists-wmd-Hamburg-Koeln-Mannheim-Muenchen-Nuernberg-Stuttgart-BridgingIT-GmbH--12151811-inline.html,2025-03-28T14:53:52.737273,BridgingIT GmbH,"Hamburg, Köln, Mannheim, München, Nürnberg, Stuttgart",vor 13 Stunden
12233809,Data Scientist KI & LLM (m/w/d),/stellenangebote--Data-Scientist-KI-LLM-m-w-d-Hamburg-Allgeier-IT-GmbH--12233809-inline.html,2025-03-28T14:53:52.737505,Allgeier IT GmbH,Hamburg,vor 1 Woche
12009281,Data Scientist / Data Analyst (m/w/d),/stellenangebote--Data-Scientist-Data-Analyst-m-w-d-Braunschweig-Frankfurt-Hamburg-Hannover-Koeln-Osnabrueck-Duesseldorf-Amadeus-Fire-AG--12009281-inline.html,2025-03-28T14:53:52.737878,Amadeus Fire AG,"Braunschweig, Frankfurt, Hamburg, Hannover, Köln, Osnabrück, Düsseldorf",vor 3 Wochen
12146865,(Senior) Data Scientist (m/w/d) InsurTech,/stellenangebote--Senior-Data-Scientist-m-w-d-InsurTech-Hamburg-CHECK24--12146865-inline.html,2025-03-28T14:53:52.738170,CHECK24,Hamburg,vor 1 Tag
12108829,Data Scientist - Hamburg (all genders),/stellenangebote--Data-Scientist-Hamburg-all-genders-Hamburg-Digitl-GmbH--12108829-inline.html,2025-03-28T14:53:52.739168,Digitl GmbH,Hamburg,vor 1 Woche
12272044,Consultant (w/m/d) Data Science & AI (all levels),/stellenangebote--Consultant-w-m-d-Data-Science-AI-all-levels-Berlin-Duesseldorf-Frankfurt-Hamburg-Muenchen-Stuttgart-Horvaeth--12272044-inline.html,2025-03-28T14:53:52.740277,Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",vor 7 Stunden
12263652,Senior Cloud Data Engineer (m/w/d),/stellenangebote--Senior-Cloud-Data-Engineer-m-w-d-Hamburg-Stuttgart-Mannheim-Frankfurt-am-Main-Berlin-Muenchen-Koeln-Wiesbaden-Hays-Interne-Karriere-bei-Uns--12263652-inline.html,2025-03-28T14:53:52.740499,Hays – Interne Karriere bei Uns,"Hamburg, Stuttgart, Mannheim, Frankfurt am Main, Berlin, München, Köln, Wiesbaden",vor 5 Tagen
12221872,Mathematiker/Aktuar (m/w/d) mit Schwerpunkt ALM und Data Science,/stellenangebote--Mathematiker-Aktuar-m-w-d-mit-Schwerpunkt-ALM-und-Data-Science-Hamburg-SIGNAL-IDUNA-Gruppe--12221872-inline.html,2025-03-28T14:53:52.740723,SIGNAL IDUNA Gruppe,Hamburg,vor 2 Wochen
12181137,(Senior) SAP AI Consultant (m/w/d),/stellenangebote--Senior-SAP-AI-Consultant-m-w-d-Guetersloh-Koeln-Hamburg-Berlin-Arvato-Systems-GmbH--12181137-inline.html,2025-03-28T14:53:52.741131,Arvato Systems GmbH,"Gütersloh, Köln, Hamburg, Berlin",vor 1 Woche
11265780,Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,/stellenangebote--Abschlussarbeit-im-Bereich-Datenstrategie-und-Kuenstliche-Intelligenz-Berlin-Bonn-Frankfurt-Hamburg-Muenchen-Nuernberg-Wien-Senacor-Technologies-AG--11265780-inline.html,2025-03-28T14:53:52.741534,Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien",vor 3 Tagen
12146397,Consultant (w/m/d) Data Science & AI (all levels),/stellenangebote--Consultant-w-m-d-Data-Science-AI-all-levels-Berlin-Duesseldorf-Frankfurt-Hamburg-Muenchen-Stuttgart-Horvaeth--12146397-inline.html,2025-03-28T14:53:52.741979,Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",vor 1 Woche
12177377,Sales Consultant Digital Solutions (w/m/d),/stellenangebote--Sales-Consultant-Digital-Solutions-w-m-d-Hamburg-Koeln-Kienbaum-Consultants-International-GmbH-Zentrale--12177377-inline.html,2025-03-28T14:53:52.742480,Kienbaum Consultants International GmbH - Zentrale,"Hamburg, Köln",vor 1 Woche
12273574,Informatiker*in (w/m/d) als Sachgebietsleitung,/stellenangebote--Informatikerin-w-m-d-als-Sachgebietsleitung-Norderstedt-Stadt-Norderstedt--12273574-inline.html,2025-03-28T14:53:52.742613,Stadt Norderstedt,Norderstedt,vor 3 Tagen
12146291,Senior Product Manager (m/w/d) Digital,/stellenangebote--Senior-Product-Manager-m-w-d-Digital-Hamburg-Hermes-Germany-GmbH--12146291-inline.html,2025-03-28T14:53:52.743051,Hermes Germany GmbH,Hamburg,vor 2 Tagen
12207246,"Wissenschaftliche Mitarbeiterin / Wissenschaftlicher Mitarbeiter (m/w/d) Fakultät für Maschinenbau und Bauingenieurwesen, Professur für Computational Materials Design",/stellenangebote--Wissenschaftliche-Mitarbeiterin-Wissenschaftlicher-Mitarbeiter-m-w-d-Fakultaet-fuer-Maschinenbau-und-Bauingenieurwesen-Professur-fuer-Computational-Materials-Design-Hamburg-Helmut-Schmidt-Universitaet--12207246-inline.html,2025-03-28T14:53:52.743788,Helmut-Schmidt-Universität,Hamburg,vor 2 Tagen
12185029,Head of AI Transformation (m/f/d),/stellenangebote--Head-of-AI-Transformation-m-f-d-Hamburg-Norderstedt-tesa-SE--12185029-inline.html,2025-03-28T14:53:52.743978,tesa SE,"Hamburg, Norderstedt",vor 1 Woche
12204073,Head of Data Analytics (f/m/d),/stellenangebote--Head-of-Data-Analytics-f-m-d-Hamburg-Bauer-Media-Group--12204073-inline.html,2025-03-28T14:53:52.744222,Bauer Media Group,Hamburg,vor 3 Tagen
