job_id,job_title,job_url,scrape_date,company_name,location,posting_date
12208326,"Data Scientist (m/w/d) – Schwerpunkt Mathematik, Statistik & Naturwissenschaften",/stellenangebote--Data-Scientist-m-w-d-Schwerpunkt-Mathematik-Statistik-Naturwissenschaften-Hamburg-ISBA-Informatik-Service-GmbH--12208326-inline.html,2025-03-28T23:20:00.352450,ISBA Informatik Service-GmbH,Hamburg,vor 1 Tag
12151811,"Data Engineers, Analysts & Scientists (w|m|d)",/stellenangebote--Data-Engineers-Analysts-Scientists-wmd-Hamburg-Koeln-Mannheim-Muenchen-Nuernberg-Stuttgart-BridgingIT-GmbH--12151811-inline.html,2025-03-28T23:20:00.352674,BridgingIT GmbH,"Hamburg, Köln, Mannheim, München, Nürnberg, Stuttgart",vor 21 Stunden
12233809,Data Scientist KI & LLM (m/w/d),/stellenangebote--Data-Scientist-KI-LLM-m-w-d-Hamburg-Allgeier-IT-GmbH--12233809-inline.html,2025-03-28T23:20:00.352801,Allgeier IT GmbH,Hamburg,vor 1 Woche
12009281,Data Scientist / Data Analyst (m/w/d),/stellenangebote--Data-Scientist-Data-Analyst-m-w-d-Braunschweig-Frankfurt-Hamburg-Hannover-Koeln-Osnabrueck-Duesseldorf-Amadeus-Fire-AG--12009281-inline.html,2025-03-28T23:20:00.352916,Amadeus Fire AG,"Braunschweig, Frankfurt, Hamburg, Hannover, Köln, Osnabrück, Düsseldorf",vor 3 Wochen
12146865,(Senior) Data Scientist (m/w/d) InsurTech,/stellenangebote--Senior-Data-Scientist-m-w-d-InsurTech-Hamburg-CHECK24--12146865-inline.html,2025-03-28T23:20:00.353029,CHECK24,Hamburg,vor 2 Tagen
12221872,Mathematiker/Aktuar (m/w/d) mit Schwerpunkt ALM und Data Science,/stellenangebote--Mathematiker-Aktuar-m-w-d-mit-Schwerpunkt-ALM-und-Data-Science-Hamburg-SIGNAL-IDUNA-Gruppe--12221872-inline.html,2025-03-28T23:20:00.353133,SIGNAL IDUNA Gruppe,Hamburg,vor 7 Stunden
12108829,Data Scientist - Hamburg (all genders),/stellenangebote--Data-Scientist-Hamburg-all-genders-Hamburg-Digitl-GmbH--12108829-inline.html,2025-03-28T23:20:00.353241,Digitl GmbH,Hamburg,vor 1 Woche
12272044,Consultant (w/m/d) Data Science & AI (all levels),/stellenangebote--Consultant-w-m-d-Data-Science-AI-all-levels-Berlin-Duesseldorf-Frankfurt-Hamburg-Muenchen-Stuttgart-Horvaeth--12272044-inline.html,2025-03-28T23:20:00.353354,Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",vor 15 Stunden
12263652,Senior Cloud Data Engineer (m/w/d),/stellenangebote--Senior-Cloud-Data-Engineer-m-w-d-Hamburg-Stuttgart-Mannheim-Frankfurt-am-Main-Berlin-Muenchen-Koeln-Wiesbaden-Hays-Interne-Karriere-bei-Uns--12263652-inline.html,2025-03-28T23:20:00.353486,Hays – Interne Karriere bei Uns,"Hamburg, Stuttgart, Mannheim, Frankfurt am Main, Berlin, München, Köln, Wiesbaden",vor 5 Tagen
12181137,(Senior) SAP AI Consultant (m/w/d),/stellenangebote--Senior-SAP-AI-Consultant-m-w-d-Guetersloh-Koeln-Hamburg-Berlin-Arvato-Systems-GmbH--12181137-inline.html,2025-03-28T23:20:00.353609,Arvato Systems GmbH,"Gütersloh, Köln, Hamburg, Berlin",vor 1 Woche
11265780,Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,/stellenangebote--Abschlussarbeit-im-Bereich-Datenstrategie-und-Kuenstliche-Intelligenz-Berlin-Bonn-Frankfurt-Hamburg-Muenchen-Nuernberg-Wien-Senacor-Technologies-AG--11265780-inline.html,2025-03-28T23:20:00.353717,Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien",vor 3 Tagen
12146397,Consultant (w/m/d) Data Science & AI (all levels),/stellenangebote--Consultant-w-m-d-Data-Science-AI-all-levels-Berlin-Duesseldorf-Frankfurt-Hamburg-Muenchen-Stuttgart-Horvaeth--12146397-inline.html,2025-03-28T23:20:00.353827,Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",vor 1 Woche
12177377,Sales Consultant Digital Solutions (w/m/d),/stellenangebote--Sales-Consultant-Digital-Solutions-w-m-d-Hamburg-Koeln-Kienbaum-Consultants-International-GmbH-Zentrale--12177377-inline.html,2025-03-28T23:20:00.353948,Kienbaum Consultants International GmbH - Zentrale,"Hamburg, Köln",vor 1 Woche
12293153,Senior Data Scientist (f/m/x),/stellenangebote--Senior-Data-Scientist-f-m-x-Hamburg-exmox-GmbH--12293153-inline.html,2025-03-28T23:20:00.354045,exmox GmbH,Hamburg,vor 20 Stunden
12294253,"Senior Data Scientist (f/m/x) job at exmox GmbH in Hamburg, HAMBURG",/stellenangebote--Senior-Data-Scientist-f-m-x-job-at-exmox-GmbH-in-Hamburg-HAMBURG-Hamburg-Germany-exmox-GmbH--12294253-inline.html,2025-03-28T23:20:00.354163,exmox GmbH,"Hamburg, Germany",vor 20 Stunden
